Drug,Disease
266,5
74,29
74,27
74,27
74,27
503,273
503,273
89,68
89,74
89,260
89,268
89,266
334,73
334,152
334,232
334,171
334,168
334,172
145,29
145,27
145,27
145,27
444,117
321,205
39,251
255,136
8,136
52,163
250,3
250,100
250,78
250,98
250,247
107,137
107,74
107,229
575,273
575,67
575,273
195,76
154,246
154,225
376,260
401,196
141,181
141,101
374,30
374,0
374,23
470,182
480,210
235,143
235,171
235,273
235,273
114,205
519,144
519,236
519,145
468,20
92,62
92,74
92,181
127,24
127,271
127,273
127,67
127,112
127,273
548,152
548,168
25,58
560,148
515,17
515,105
472,262
288,0
288,0
69,124
528,95
528,117
489,210
388,8
388,142
388,24
388,68
388,74
388,78
388,260
388,266
388,266
388,266
388,259
388,240
388,82
254,75
450,11
102,15
102,90
77,58
453,61
223,158
223,129
413,46
381,176
381,191
381,238
412,197
412,163
412,202
412,30
412,182
412,93
412,115
412,82
412,123
210,251
24,239
24,33
24,57
24,74
24,30
24,258
24,126
24,130
425,202
135,144
135,236
206,273
206,70
206,273
153,232
153,171
153,273
153,189
153,273
457,74
457,99
352,268
351,218
351,244
351,244
315,68
56,25
56,0
56,0
532,273
532,273
157,249
157,26
157,41
157,81
32,245
32,273
32,273
429,13
429,91
429,132
84,210
84,183
473,110
368,245
368,245
368,52
368,273
330,25
330,0
544,231
243,15
243,90
365,144
365,236
78,164
78,80
78,177
78,87
78,86
78,203
78,207
28,185
217,111
217,273
179,245
179,245
179,52
179,273
504,245
504,245
504,52
504,273
398,157
398,22
508,0
112,68
518,144
518,236
518,145
518,202
518,131
361,138
361,143
361,145
361,232
361,171
361,273
361,70
361,189
361,97
361,273
80,74
377,74
483,58
483,101
483,244
181,6
181,89
181,192
181,192
181,101
181,216
423,156
423,175
423,210
423,184
423,199
53,68
53,260
242,74
58,234
34,48
34,68
34,74
34,260
34,266
9,70
9,212
9,213
577,273
577,273
462,17
462,18
462,49
462,210
462,110
462,64
507,248
507,232
507,171
507,273
507,70
507,112
507,273
219,6
219,33
219,96
219,2
219,117
219,130
29,25
29,0
29,0
29,2
395,14
395,40
395,210
395,193
62,53
62,164
62,80
62,177
62,210
62,185
62,203
194,245
194,273
194,273
477,262
477,273
477,273
547,235
201,144
201,99
178,106
178,142
178,47
178,74
178,175
178,266
178,266
178,266
178,107
178,259
173,5
173,158
485,74
241,115
356,138
356,145
356,232
356,171
356,273
356,189
356,273
175,68
175,117
270,29
270,27
270,27
270,27
86,273
86,273
113,74
17,3
17,202
17,98
5,142
5,74
5,266
5,266
5,266
5,259
559,144
500,147
500,26
188,13
188,219
188,244
188,129
203,144
203,68
203,202
203,191
203,99
239,219
192,14
192,40
192,164
192,210
192,185
192,190
192,193
192,119
192,207
43,5
43,35
43,267
43,267
43,157
43,95
43,101
43,197
43,120
571,225
571,113
571,114
571,250
54,80
54,80
54,210
54,30
54,191
316,158
316,131
576,26
576,81
251,177
253,63
358,206
531,95
531,101
447,1
447,142
447,186
447,187
447,266
447,266
447,266
447,101
447,2
447,117
447,259
225,262
225,58
225,239
225,51
225,62
225,273
225,74
225,103
225,273
225,2
309,24
309,228
309,240
61,147
61,147
116,117
370,74
370,268
90,68
90,268
90,266
553,179
420,144
420,236
420,131
4,102
494,68
378,137
378,239
378,74
378,260
378,94
2,182
2,82
152,256
152,16
152,153
152,255
152,75
152,260
152,215
152,117
152,227
406,156
406,164
406,175
