Drug,Protein
266,1641
266,1311
266,1428
266,1392
266,1387
266,1619
266,2268
266,2270
266,2269
266,2615
266,2611
266,2609
266,2608
266,2610
266,2612
266,2613
266,1297
266,1615
266,1343
266,1377
266,1326
266,1515
266,1436
266,1970
74,1672
74,1705
74,1956
74,2382
503,1138
503,1556
89,1010
89,1216
89,2369
89,1833
334,1220
334,1260
334,1437
334,2047
334,2638
334,2630
334,2633
334,1709
145,1517
444,1611
444,1104
39,1169
39,1115
39,1060
39,1568
39,1339
39,1848
39,1945
39,1534
39,1433
255,1746
255,1200
255,1287
255,1006
52,1640
107,1412
107,1468
107,1575
107,1071
575,1223
195,1534
195,1339
195,1169
195,1060
195,1115
195,1568
195,1788
195,3301
195,3344
154,2176
376,1530
376,1642
401,1252
141,1641
141,1311
141,1428
141,1392
141,1387
141,1619
141,2268
141,2270
141,2269
141,2615
141,2611
141,2609
141,2608
141,2610
141,2612
141,2613
141,1641
141,1311
141,1428
141,1387
141,2609
141,2608
141,2610
374,3696
374,1515
374,1611
374,2265
374,1683
374,2603
470,1352
480,1722
235,1155
235,1014
235,1409
235,1407
235,1285
235,1547
235,1286
235,1607
235,1721
114,2097
114,2571
519,1360
519,1006
519,1287
519,2286
468,1071
468,1382
468,1560
468,1138
468,1556
468,1825
468,1005
468,1355
468,2281
468,2279
468,2277
468,1245
468,2276
468,2280
468,2278
468,1550
468,1254
468,1178
468,1054
468,3609
92,1399
92,1604
92,1374
92,1238
92,1346
92,1509
92,1847
92,2620
92,1412
92,1575
92,1237
92,1366
92,1723
92,1633
92,1091
92,1117
92,1124
92,1435
92,1468
92,1521
92,1530
92,1624
92,1642
92,1764
92,2309
92,3697
92,1073
92,1455
92,1032
92,1333
92,1204
92,1071
92,1382
92,1560
127,1355
127,1245
127,2196
127,2588
127,1220
127,1790
127,1005
127,3698
127,2196
548,1641
548,1311
548,1428
548,1392
548,1387
548,1619
548,1683
548,2265
548,1664
548,1661
25,1095
25,1519
25,1698
25,1851
25,1399
25,1412
25,1468
25,1575
25,1237
25,1465
25,1277
25,1138
25,1556
25,1825
25,1611
25,2169
25,1604
25,2171
25,2169
25,3699
560,1360
560,1565
560,1988
560,1921
560,1400
560,2275
560,2000
515,2097
472,1331
288,1319
288,1611
288,1473
288,1116
288,1012
288,1277
288,1465
288,1238
288,1374
288,1323
288,1435
288,1237
288,1530
288,1642
69,1035
528,1238
528,1611
528,1374
528,1412
528,1468
528,1473
528,1530
528,1521
528,1237
528,1277
528,1366
528,1642
528,1435
528,1252
528,1764
528,1012
528,1319
528,1465
528,1390
528,1116
528,1323
528,3038
528,1138
528,1556
528,1091
528,1786
528,1117
528,1073
528,1455
528,1032
528,1333
528,1204
528,1509
528,1624
528,1346
528,1297
528,1615
528,1343
528,1377
528,1326
528,1515
528,1436
528,1519
528,1604
254,1366
254,1071
254,3169
254,2527
450,3700
102,1138
102,1556
77,1399
77,1604
77,1297
77,1615
77,1343
77,1377
77,1326
77,1515
77,1436
77,1838
77,1509
453,1467
453,1687
453,2668
453,2286
453,2738
223,1073
223,1455
223,1032
223,1333
223,1204
223,1357
223,1683
223,1684
413,1730
413,1938
381,1720
412,1901
24,1180
24,2264
425,1178
425,1216
425,1010
425,1205
206,1184
153,1345
153,1450
153,1220
153,1260
153,1437
457,1143
352,1161
351,1095
351,1237
351,1412
351,1519
315,1366
315,1333
315,1073
315,1204
315,1455
315,1032
532,1289
532,1695
532,2307
532,1590
532,1541
532,1834
532,1344
532,2441
532,2589
532,1071
157,1640
32,1138
32,1556
429,1455
429,1073
429,1032
429,1333
84,1339
84,1060
84,1568
473,1104
368,1047
368,1495
368,2295
330,1073
243,1138
243,1556
365,1556
78,1163
78,1134
28,2272
28,2271
217,1031
217,1426
179,1237
179,1277
179,1465
504,1260
504,1220
504,1437
504,2631
504,2630
398,1216
398,1010
508,1611
508,1473
508,1530
508,1237
508,1238
508,1277
508,1465
508,1323
508,1319
508,1374
508,1642
508,1435
508,1116
508,1012
508,1412
508,1468
508,1575
508,1521
112,1073
112,1366
518,1640
518,1348
361,1413
361,1232
361,1487
361,1034
361,1972
80,1143
80,1047
377,1509
377,1624
377,1346
377,2297
483,1519
483,1399
483,2603
483,1252
181,1238
181,1611
181,1473
181,1319
181,1412
181,1468
181,1575
53,1641
53,1311
53,1428
53,1392
53,1387
53,1619
53,1683
53,2265
53,1664
53,1661
53,1641
53,1311
53,1428
53,1392
53,1387
53,1619
53,2268
53,2270
53,2269
53,2615
53,2611
53,2609
53,2608
53,2610
53,2612
53,2613
242,1509
242,1346
242,1624
58,1611
58,1323
58,1473
58,1374
58,1465
58,1530
58,1319
58,1237
58,1238
58,1277
58,1116
58,1012
58,1642
58,1435
58,1521
58,1412
58,1468
58,1575
58,1138
58,1556
58,1012
58,1116
34,1006
34,1400
34,1596
34,1746
34,2589
34,2441
34,3133
34,1508
34,1921
34,1400
34,2275
34,2000
34,3134
34,2094
34,1360
34,1988
34,1148
34,3701
34,2584
34,1567
34,2666
34,3135
34,2414
34,3702
34,3136
34,2302
34,2315
34,2298
34,2316
34,2947
34,3131
34,3132
34,3097
34,1200
34,1287
34,2441
34,2000
34,1988
34,1148
9,1631
9,3292
577,1045
462,1262
507,1184
507,1516
507,1041
507,2050
507,3212
219,1113
219,1143
219,1157
219,2090
219,2091
219,2092
219,1161
219,3105
219,2093
219,1928
219,1683
