Drug,Disease
0,2
0,3
0,4
0,5
0,10
0,11
0,12
0,13
0,16
0,19
0,23
0,24
0,25
0,27
0,32
0,33
0,39
0,43
0,46
0,48
0,50
0,51
0,53
0,56
0,59
0,61
0,63
0,64
0,66
0,68
0,69
0,70
0,75
0,76
0,77
0,83
0,87
0,89
0,91
0,96
0,110
0,111
0,112
0,113
0,114
0,119
0,120
0,125
0,133
0,134
0,142
0,144
0,154
0,156
0,159
0,170
0,176
0,185
0,189
0,197
0,239
0,270
0,294
1,2
1,3
1,4
1,5
1,6
1,10
1,11
1,12
1,13
1,19
1,23
1,24
1,25
1,27
1,32
1,33
1,42
1,43
1,46
1,48
1,51
1,56
1,59
1,61
1,63
1,64
1,69
1,70
1,75
1,76
1,77
1,87
1,89
1,91
1,96
1,101
1,109
1,110
1,111
1,112
1,113
1,114
1,119
1,125
1,133
1,134
1,142
1,144
1,154
1,156
1,160
1,170
1,176
1,185
1,189
1,197
1,202
1,246
1,285
2,2
2,3
2,4
2,5
2,6
2,8
2,10
2,11
2,12
2,13
2,19
2,23
2,24
2,25
2,32
2,33
2,43
2,46
2,48
2,51
2,56
2,59
2,61
2,63
2,64
2,70
2,75
2,76
2,77
2,87
2,89
2,91
2,96
2,110
2,111
2,112
2,113
2,114
2,117
2,119
2,125
2,133
2,142
2,144
2,154
2,156
2,170
2,176
2,197
3,2
3,3
3,4
3,10
3,11
3,12
3,13
3,19
3,23
3,24
3,25
3,32
3,33
3,43
3,46
3,48
3,51
3,56
3,59
3,61
3,63
3,64
3,69
3,70
3,75
3,76
3,77
3,87
3,89
3,91
3,96
3,110
3,111
3,112
3,113
3,114
3,119
3,133
3,134
3,142
3,144
3,156
3,159
3,176
3,185
3,189
3,197
4,2
4,3
4,4
4,10
4,11
4,12
4,13
4,19
4,23
4,24
4,25
4,32
4,33
4,42
4,43
4,46
4,48
4,51
4,56
4,59
4,61
4,63
4,64
4,66
4,69
4,70
4,75
4,77
4,87
4,89
4,91
4,96
4,101
4,111
4,112
4,114
4,119
4,125
4,133
4,142
4,154
5,2
5,3
5,6
5,9
5,10
5,11
5,12
5,13
5,19
5,23
5,24
5,25
5,32
5,43
5,46
5,48
5,51
5,56
5,59
5,61
5,63
5,64
5,70
5,75
5,77
5,87
5,89
5,91
5,96
5,109
5,110
5,111
5,112
5,113
5,114
5,119
5,126
5,144
5,156
5,159
5,160
6,2
6,3
6,5
6,6
6,9
6,12
6,16
6,23
6,24
6,25
6,32
6,33
6,50
6,51
6,59
6,61
6,64
6,75
6,78
6,87
6,91
6,96
6,99
6,109
6,117
6,125
6,144
6,160
6,170
6,182
6,191
6,198
6,202
6,206
6,224
6,248
6,250
6,285
6,386
6,446
6,450
7,138
7,143
7,188
7,194
7,209
7,214
7,216
7,221
7,228
7,255
7,269
7,301
7,302
7,316
7,324
7,343
7,345
7,364
7,367
7,371
7,376
7,385
7,410
7,430
7,432
7,449
7,451
8,5
8,10
8,13
8,16
8,23
8,39
8,53
8,68
8,81
8,83
8,88
8,95
8,108
8,115
8,120
8,139
8,145
8,149
8,158
8,172
8,186
8,213
8,220
8,276
8,314
9,5
9,10
9,13
9,16
9,23
9,39
9,53
9,68
9,83
9,88
9,95
9,108
9,115
9,120
9,139
9,145
9,149
9,158
9,168
9,172
9,219
9,276
9,314
10,4
10,5
10,10
10,13
10,16
10,17
10,19
10,23
10,39
10,49
10,53
10,58
10,68
10,72
10,81
10,83
10,92
10,108
10,120
10,128
10,139
10,175
10,383
11,4
11,5
11,10
11,11
11,12
