Drug,Protein
0,7635
1,5018
1,6405
1,7635
1,10633
1,15094
2,7635
2,15094
3,7635
4,7635
4,15094
5,7635
6,7635
7,9515
8,9287
8,11237
9,5018
10,12685
11,89
11,6300
11,11647
12,2752
13,11647
14,540
14,697
14,1437
14,2780
14,3148
14,3842
14,5512
14,5717
14,6422
14,6562
14,8812
14,9861
14,9935
14,10784
14,10912
14,12254
14,12494
14,13718
14,13739
14,13939
14,14606
14,15554
14,15654
14,16009
14,16516
14,16767
14,18112
14,18689
15,8088
15,8694
15,12154
16,4858
16,5018
16,6720
16,14798
16,15547
16,15910
17,3143
17,10877
20,1926
20,10703
20,11907
20,15452
21,4941
21,10538
21,13294
21,18864
22,3671
22,13724
22,16734
24,538
24,628
24,2980
24,5018
24,5841
24,9618
24,10332
24,10385
24,11047
24,11473
24,13167
24,13717
24,13908
24,14175
24,14425
24,15295
24,17734
25,1188
25,6107
25,7137
25,12003
25,14898
25,15145
26,8256
26,10784
26,18112
27,12947
27,14609
28,3143
28,5018
28,6583
28,7095
28,9508
28,9835
28,14609
29,4858
29,5018
29,6720
29,14798
29,15547
29,15910
30,9513
30,16209
31,18832
32,2519
32,7092
32,9579
32,10769
32,14654
32,14712
32,14886
32,17695
32,18061
33,17989
34,6029
34,7148
34,9010
35,3635
35,3716
35,7294
35,7655
35,7936
35,8530
35,8832
35,8896
35,9345
35,9808
35,10392
35,11114
35,13305
35,14521
35,16153
35,16660
35,17444
35,18114
36,763
36,1315
36,1596
36,1625
36,2156
36,2173
36,2597
36,2875
36,3496
36,4116
36,4996
36,5453
36,5725
36,6082
36,9326
36,9542
36,9845
36,10333
36,10656
36,11211
36,12813
36,13568
36,14277
36,14296
36,14692
36,14724
36,14936
36,15523
36,15950
36,16694
36,17124
37,8530
37,9345
37,9808
37,14521
37,16153
37,18114
38,4117
38,7014
39,2997
39,3087
39,4510
39,6029
39,9451
39,10784
39,11501
39,16631
39,18112
40,5717
40,10784
40,18112
42,2744
42,10719
42,11237
43,16734
44,2545
44,7041
45,4116
45,5340
45,7089
45,9845
45,10784
46,3937
46,12298
47,3937
47,4685
47,9935
47,12298
48,4492
49,9896
50,2997
50,3087
50,8941
50,10784
50,10932
50,15586
50,15910
50,17816
50,18112
50,18489
51,4527
51,5912
51,6613
51,9158
51,9513
51,13935
52,2744
52,3143
52,3917
52,6729
52,7958
52,10133
52,10719
52,11237
52,16421
52,16804
52,17068
53,7635
53,17341
54,1188
54,7137
54,12003
54,15145
55,6337
55,6448
56,11647
57,6912
58,2933
58,3124
58,12288
58,14445
58,16999
59,7635
59,14159
59,15094
60,11131
60,12998
61,6594
61,7245
61,10121
61,13429
61,15851
61,16413
61,17635
63,7635
63,15094
64,10784
64,18112
65,2744
65,10719
65,11237
67,1583
67,2361
67,3735
67,4439
67,5018
67,8469
67,18395
68,11237
69,1188
69,2933
69,3575
69,5527
69,6107
69,7137
69,7245
69,9308
69,11249
69,11967
69,12003
69,12288
69,13429
69,14445
69,14898
69,15145
69,15460
69,16413
69,16999
69,18640
70,5453
70,10333
71,10784
71,18112
73,7739
73,8997
74,2545
75,2997
75,5018
75,8687
76,1315
76,2173
76,3496
76,4996
76,6082
76,8221
76,9326
76,10574
76,11211
76,12813
76,13223
76,14296
76,15950
76,16694
77,7635
77,9835
77,17341
78,6081
78,9804
78,11131
78,17342
78,17692
79,12288
79,16999
80,9287
80,11237
81,544
81,2095
81,2215
81,2545
81,2616
81,2696
81,2875
81,6957
81,7914
81,7981
81,8491
81,8997
81,9978
81,10741
81,10766
81,10826
81,11864
81,12328
81,12630
81,13410
81,13568
81,14936
81,14942
81,15690
81,16136
81,17374
81,18169
82,3874
82,4951
82,8354
83,538
83,628
83,2980
83,4439
83,4541
83,5841
83,9618
83,10332
83,10385
83,11047
83,11473
83,13167
83,13717
83,13908
83,14175
83,14425
83,15295
83,17341
83,17734
84,5018
84,13910
85,17144
86,2095
86,2616
86,2875
86,3309
86,7981
86,8080
86,8997
86,14277
87,4370
87,5018
87,5305
87,5418
87,5825
87,7562
87,10397
87,12356
87,13418
87,13810
89,12288
89,16999
90,1551
90,10784
90,18112
91,4319
91,4741
91,12974
93,9896
94,544
94,1756
94,2095
94,2215
94,2616
94,2696
94,2875
94,5018
94,6957
94,7635
94,7914
94,7981
94,8491
94,8997
94,9508
94,9818
94,9835
94,9978
94,10741
94,10766
94,10826
94,11860
94,11864
94,12328
94,12630
94,13410
94,13568
94,14159
94,14936
94,14942
94,15690
94,15787
94,16136
94,17341
94,17374
94,18169
94,18256
95,2652
95,14221
95,15486
96,2249
96,2504
96,3874
96,4739
96,4951
96,5014
96,5912
96,7137
96,7171
96,7473
96,7960
96,8354
96,10080
96,10322
96,12003
96,12288
96,13376
96,14427
96,15555
96,16999
96,18006
97,11647
98,11237
99,10784
99,18112
100,1315
100,1583
100,2173
100,3496
100,4996
100,5018
100,8221
100,10574
100,13223
100,14296
100,15950
100,16694
101,11864
102,1188
102,2249
102,7137
102,12003
102,12288
102,14898
102,15145
102,16999
103,5912
103,6181
104,14047
105,12288
105,16999
106,6428
107,1369
107,6304
108,629
108,1211
108,1465
108,2352
108,4088
108,5900
108,6175
108,7092
108,7320
108,7952
108,9019
108,11341
108,11660
108,12841
108,14371
108,14886
108,15936
108,16287
108,16957
108,17695
108,18061
108,18511
108,18635
109,6428
110,1188
110,5527
110,6107
110,7137
110,9308
110,12003
110,14898
110,15145
110,15460
111,7635
112,9804
112,11131
113,11131
114,333
114,1483
114,3391
114,4997
114,9452
114,9793
114,12429
114,18587
115,283
115,9798
116,3937
116,6570
116,13866
116,16391
116,17744
117,11131
118,642
118,1583
118,13378
118,16175
119,6044
120,1978
120,4896
120,6029
120,9010
120,9262
120,9791
120,13400
120,17737
121,10784
121,18112
122,2481
122,4192
122,5527
122,6107
122,6228
122,7137
122,7245
122,8177
122,11249
122,12003
122,13429
122,14445
122,14898
122,15460
122,15851
122,16413
122,16795
122,17635
123,538
123,628
123,2980
123,5841
123,9618
123,10332
123,10385
123,11047
123,11473
123,13167
123,13717
123,13908
123,14175
123,14425
123,15295
123,17734
124,3530
124,5807
125,11647
126,1437
126,3965
126,6029
126,7468
126,8194
126,10784
126,18112
127,5527
127,9308
127,12003
127,14445
127,15460
128,9158
128,9328
129,6181
130,6428
131,6448
131,6720
132,7635
132,17341
133,3575
133,5527
133,9308
133,11249
133,14445
133,14898
133,15460
134,9515
134,11452
134,16330
135,2499
135,18123
136,12288
136,16999
137,11219
137,14175
138,3176
138,7616
139,10784
139,18112
140,68
140,228
140,243
140,706
140,822
140,1151
140,1433
140,2083
140,2111
140,2616
140,2948
140,3071
140,3072
140,3143
140,3198
140,4187
140,4653
